code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sz.000001,2024-04-20,2024-03-31,0.031176,0.385143,,14932000000.000000,2.410862,,19405918198.00,19405546950.00
sz.000001,2024-08-16,2024-06-30,0.054242,0.335516,,25879000000.000000,2.419210,77132000000.000000,19405918198.00,19405617528.00
sz.000001,2024-10-19,2024-09-30,0.082528,0.356052,,39729000000.000000,2.398701,,19405918198.00,19405617528.00
sz.000001,2025-03-15,2024-12-31,0.092038,0.303405,,44508000000.000000,2.293527,146695000000.000000,19405918198.00,19405571850.00
sz.000001,2025-04-19,2025-03-31,0.028165,0.418167,,14096000000.000000,2.250447,,19405918198.00,19405571850.00
sz.000001,2025-08-23,2025-06-30,0.049497,0.358435,,24870000000.000000,2.241533,69385000000.000000,19405918198.00,19405600653.00
sz.000001,2025-10-25,2025-09-30,0.075711,0.380846,,38339000000.000000,2.221900,,19405918198.00,19405600653.00
sz.000002,2024-04-30,2024-03-31,-0.001444,0.005379,0.108216,331290344.620000,0.867920,,11930709471.00,9716935865.00
sz.000002,2024-08-31,2024-06-30,-0.040013,-0.059678,0.081152,-8520745012.810000,-0.633683,139398166927.400000,11930709471.00,9716935865.00
sz.000002,2024-10-31,2024-09-30,-0.074008,-0.074573,0.095021,-16398110547.690000,-1.626231,,11930709471.00,9716935865.00
sz.000002,2025-04-01,2024-12-31,-0.218231,-0.141921,0.101731,-48703934402.330000,-4.147149,334160709700.000000,11930709471.00,9716935865.00
sz.000002,2025-04-30,2025-03-31,-0.031278,-0.168845,0.061003,-6415198525.250000,-4.640350,,11930709471.00,9716935865.00
sz.000002,2025-08-23,2025-06-30,-0.060626,-0.103158,0.099681,-10864982511.250000,-4.322669,101526223282.320000,11930709471.00,9716399629.00
sz.000002,2025-10-31,2025-09-30,-0.148067,-0.174961,0.095844,-28236658916.010000,-4.991402,,11930709471.00,9716399629.00
sz.000063,2024-04-26,2024-03-31,0.039474,0.090299,0.420217,2761185000.000000,1.970305,,4783251552.00,4027020775.00
sz.000063,2024-08-17,2024-06-30,0.082837,0.091385,0.404703,5710390000.000000,2.004086,62487098000.000000,4783251552.00,4027090375.00
sz.000063,2024-10-22,2024-09-30,0.112688,0.087146,0.404340,7847061000.000000,1.963307,,4783251652.00,4027090475.00
sz.000063,2025-03-01,2024-12-31,0.119656,0.068885,0.379127,8355613000.000000,1.761206,121298800000.000000,4783534887.00,4027373710.00
sz.000063,2025-04-23,2025-03-31,0.033815,0.074742,0.342714,2464117000.000000,1.701040,,4783534887.00,4027373710.00
sz.000063,2025-08-29,2025-06-30,0.068509,0.070669,0.324509,5056583000.000000,1.620123,71552734000.000000,4783534887.00,4027360077.00
sz.000063,2025-10-29,2025-09-30,0.071967,0.053171,0.305494,5344677000.000000,1.220933,,4783534887.00,4027360077.00
sz.000100,2024-04-30,2024-03-31,0.004502,-0.008359,0.115288,-333605863.000000,0.159960,,18779080767.00,18098541554.00
sz.000100,2024-08-27,2024-06-30,0.018904,-0.005836,0.122649,-468149000.000000,0.152811,80223730000.000000,18779080767.00,18098128471.00
sz.000100,2024-10-30,2024-09-30,0.028797,-0.014867,0.119824,-1829006223.000000,0.113362,,18779080767.00,18098128471.00
sz.000100,2025-04-29,2024-12-31,0.029487,-0.025216,0.115884,-4156142000.000000,0.083290,164822832863.000000,18779080767.00,18099621696.00
sz.000100,2025-04-29,2025-03-31,0.018976,0.005179,0.132381,207533999.000000,0.124432,,18779080767.00,18099621696.00
sz.000100,2025-08-30,2025-06-30,0.035284,0.000370,0.134142,31683000.000000,0.130592,85560004497.000000,18779080767.00,18096745896.00
sz.000100,2025-10-31,2025-09-30,0.053407,0.003550,0.127633,482547787.000000,0.148339,,20800862447.00,18096745896.00
sz.000157,2024-04-30,2024-03-31,0.016123,0.086678,0.286540,1020477772.430000,0.416198,,8677992236.00,7070510063.00
sz.000157,2024-08-30,2024-06-30,0.040767,0.103607,0.283106,2542055781.110000,0.432583,24535498960.570000,8677992236.00,7070510063.00
sz.000157,2024-10-31,2024-09-30,0.055303,0.101564,0.283715,3492352149.850000,0.436734,,8677992236.00,7070510063.00
sz.000157,2025-03-25,2024-12-31,0.062009,0.088148,0.281673,4008812478.080000,0.405667,45478184506.840000,8677992236.00,7070417363.00
sz.000157,2025-04-30,2025-03-31,0.024422,0.125117,0.286745,1516030838.610000,0.462637,,8677992236.00,7070417363.00
sz.000157,2025-08-30,2025-06-30,0.048386,0.116660,0.281461,2899545393.010000,0.462172,24854631984.970000,8648535236.00,7070417363.00
sz.000157,2025-10-31,2025-09-30,0.067907,0.110479,0.280988,4104921987.860000,0.497394,,8648535236.00,7070417363.00
sz.000166,2024-04-30,2024-03-31,0.013725,0.291658,,1656724643.770000,0.159064,,25039944560.00,22535507316.00
sz.000166,2024-08-31,2024-06-30,0.021070,0.263215,,2862730033.150000,0.119277,10876016417.150000,25039944560.00,22535507316.00
sz.000166,2024-10-31,2024-09-30,0.037885,0.269876,,4711039906.370000,0.164090,,25039944560.00,22535507316.00
sz.000166,2025-03-29,2024-12-31,0.050853,0.252699,,6250514391.620000,0.208094,24735044127.970000,25039944560.00,22535507316.00
sz.000166,2025-04-30,2025-03-31,0.018708,0.410052,,2246863297.160000,0.231645,,25039944560.00,22535507316.00
sz.000166,2025-08-30,2025-06-30,0.040178,0.410680,,4803096663.890000,0.294200,11695485798.800000,25039944560.00,22535507316.00
sz.000166,2025-10-31,2025-09-30,0.074232,0.450926,,8792800746.190000,0.374479,,25039944560.00,22535507316.00
sz.000301,2024-04-30,2024-03-31,0.006945,0.006647,0.108855,244197053.530000,0.034226,,6611214278.00,5497011380.00
sz.000301,2024-08-30,2024-06-30,0.009036,0.004173,0.106149,303964877.790000,-0.105153,72833561598.670000,6611214676.00,5497011778.00
sz.000301,2024-10-31,2024-09-30,-0.041285,-0.013341,0.085839,-1444849302.320000,-0.489731,,6611215733.00,5497012835.00
sz.000301,2025-04-29,2024-12-31,-0.066110,-0.016589,0.084347,-2283873644.820000,-0.347416,137674557166.850000,6611221707.00,5497018809.00
sz.000301,2025-04-29,2025-03-31,0.009946,0.011518,0.098918,349094098.750000,-0.333155,,6611222758.00,6608548186.00
sz.000301,2025-08-30,2025-06-30,0.011264,0.006370,0.101413,388016602.420000,-0.337180,60916418734.570000,6611227974.00,6608553402.00
sz.000301,2025-10-31,2025-09-30,0.003698,0.001190,0.099173,109712128.230000,-0.113650,,6611230167.00,6608555595.00
sz.000333,2024-04-30,2024-03-31,0.053671,0.085167,0.273202,9036321000.000000,4.976085,,6968950724.00,6836340734.00
sz.000333,2024-08-20,2024-06-30,0.126980,0.097302,0.270932,21141255000.000000,5.199288,194900088000.000000,6980151778.00,6847774704.00
sz.000333,2024-10-31,2024-09-30,0.170532,0.100795,0.267560,32150982000.000000,4.928743,,7649327712.00,6882357390.00
sz.000333,2025-03-29,2024-12-31,0.203026,0.095192,0.264190,38757214000.000000,5.033628,407149600000.000000,7655955883.00,6890705959.00
sz.000333,2025-04-30,2025-03-31,0.055633,0.099703,0.254471,12745898000.000000,5.477482,,7660355772.00,6897003085.00
sz.000333,2025-08-30,2025-06-30,0.120194,0.106112,0.256199,26647354000.000000,5.706479,251123714000.000000,7666154083.00,6904171289.00
sz.000333,2025-10-30,2025-09-30,0.173257,0.106424,0.258740,38637827000.000000,5.820944,,7682861544.00,6930258641.00
sz.000338,2024-04-30,2024-03-31,0.032062,0.059324,0.221102,3344691407.260000,1.118153,,8726556821.00,4971632186.00
sz.000338,2024-08-23,2024-06-30,0.072295,0.065551,0.217494,7373775746.260000,1.262620,112489707254.780000,8726556821.00,4969162759.00
sz.000338,2024-10-31,2024-09-30,0.101375,0.063857,0.218623,10341880125.590000,1.250690,,8726556821.00,4969162759.00
sz.000338,2025-03-28,2024-12-31,0.137363,0.066195,0.224329,14277681970.390000,1.306734,215690504589.820000,8726556821.00,4976031217.00
sz.000338,2025-04-30,2025-03-31,0.030771,0.049104,0.222276,2821680863.960000,1.319443,,8726556821.00,4976031217.00
sz.000338,2025-08-30,2025-06-30,0.064047,0.058006,0.221796,6563483366.330000,1.278535,113151788107.770000,8715671296.00,4985165772.00
sz.000338,2025-10-31,2025-09-30,0.098232,0.063620,0.219090,10851780164.880000,1.363369,,8713581296.00,4985166147.00
sz.000408,2024-04-30,2024-03-31,0.039706,0.857979,0.501443,527088505.690000,1.916277,,1580435073.00,1580418573.00
sz.000408,2024-08-10,2024-06-30,0.099069,0.733253,0.490745,1291741156.890000,1.702535,1756459067.670000,1580435073.00,1580418573.00
sz.000408,2024-10-26,2024-09-30,0.142197,0.800590,0.451786,1860282559.050000,1.467508,,1580435073.00,1580418573.00
sz.000408,2025-03-29,2024-12-31,0.191658,0.790351,0.449095,2569273691.440000,1.632453,3231872922.920000,1580435073.00,1580418573.00
sz.000408,2025-04-19,2025-03-31,0.052749,1.350458,0.523677,745653475.370000,1.781887,,1570225745.00,1570209245.00
sz.000408,2025-08-02,2025-06-30,0.121683,1.069771,0.566595,1795227464.540000,1.963538,1665522817.810000,1570225745.00,1570209245.00
sz.000408,2025-10-17,2025-09-30,0.189871,1.142124,0.594164,2742751146.170000,2.205316,,1570225745.00,1570209245.00
sz.000425,2024-04-30,2024-03-31,0.028085,0.066276,0.228915,1602176491.980000,0.457305,,11816166093.00,8120089571.00
sz.000425,2024-08-29,2024-06-30,0.063964,0.075201,0.228883,3732420500.020000,0.460617,49632270967.430000,11816166093.00,8120092284.00
sz.000425,2024-10-31,2024-09-30,0.092345,0.077389,0.236260,5318643566.020000,0.490530,,11816166093.00,8120092284.00
sz.000425,2025-04-29,2024-12-31,0.103524,0.065279,0.225497,5983454032.590000,0.505758,91659763823.820000,11816166093.00,8120092209.00
sz.000425,2025-04-29,2025-03-31,0.033502,0.075734,0.220716,2030786831.700000,0.541473,,11816166093.00,8120092209.00
sz.000425,2025-08-30,2025-06-30,0.072799,0.080585,0.220294,4416694323.090000,0.561309,54808231312.220000,11753715813.00,8096838779.00
sz.000425,2025-10-31,2025-09-30,0.100308,0.077836,0.223261,6083433669.840000,0.561640,,11752972482.00,9289149004.00
sz.000538,2024-04-27,2024-03-31,0.041786,0.157695,0.299771,1699046405.000000,2.380664,,1796862549.00,1785295191.00
sz.000538,2024-08-27,2024-06-30,0.080477,0.155948,0.292955,3189962850.960000,2.496606,20417596599.080000,1784262603.00,1769400035.00
sz.000538,2024-10-30,2024-09-30,0.107628,0.144733,0.284014,4329700490.030000,2.408296,,1784262603.00,1769400035.00
sz.000538,2025-04-01,2024-12-31,0.120680,0.119078,0.278981,4767072360.280000,2.661837,39983936095.250000,1784262603.00,1772695245.00
sz.000538,2025-04-29,2025-03-31,0.048609,0.177794,0.315545,1927511203.490000,2.792259,,1784262603.00,1772695245.00
sz.000538,2025-08-30,2025-06-30,0.091696,0.171453,0.308567,3644599967.940000,2.910725,21257102896.020000,1784262603.00,1772794114.00
