code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600028,2025-04-29,2025-03-31,0.016032,0.019727,0.156610,14506000000.000000,0.373189,,121281555698.00,94841824851.00
sh.600028,2025-08-22,2025-06-30,0.026082,0.016720,0.153507,23560000000.000000,0.297686,1409052000000.000000,121245237698.00,94841824851.00
sh.600028,2025-10-30,2025-09-30,0.036325,0.016103,0.156785,34033000000.000000,0.297497,,121177613698.00,94841824851.00
sh.600028,2024-04-29,2024-03-31,0.022337,0.027039,0.160373,21360000000.000000,0.481987,,121739689893.00,94971971046.00
sh.600028,2024-08-26,2024-06-30,0.043702,0.025973,0.157701,40937000000.000000,0.501521,1545920000000.000000,121739689893.00,94971971046.00
sh.600028,2024-10-29,2024-09-30,0.054461,0.021465,0.151955,50798000000.000000,0.425177,,121699823893.00,94971971046.00
sh.600028,2025-03-24,2024-12-31,0.061896,0.018717,0.154697,57547000000.000000,0.414845,3074562000000.000000,121281555698.00,94841824851.00
sh.600030,2025-04-30,2025-03-31,0.021980,0.380704,,6761816587.540000,1.571483,,14820546829.00,12176550974.00
sh.600030,2025-08-29,2025-06-30,0.045842,0.428164,,14146231346.780000,1.676929,33039304701.060000,14820546829.00,12176550974.00
sh.600030,2025-10-25,2025-09-30,0.076164,0.428482,,23915616390.880000,1.893570,,14820546829.00,12176550974.00
sh.600030,2024-04-27,2024-03-31,0.018040,0.375304,,5162144371.100000,1.299674,,14820546829.00,11366683345.00
sh.600030,2024-08-29,2024-06-30,0.038568,0.363840,,10981937854.850000,1.280961,30183442433.740000,14820546829.00,11366683345.00
sh.600030,2024-10-30,2024-09-30,0.060498,0.378203,,17450912163.210000,1.356594,,14820546829.00,12176550974.00
sh.600030,2025-03-27,2024-12-31,0.077244,0.354127,,22589456799.930000,1.464433,63789215688.230000,14820546829.00,12176550974.00
sh.600031,2025-04-30,2025-03-31,0.033662,0.118880,0.268427,2502299000.000000,0.810219,,8474978037.00,8464215837.00
sh.600031,2025-08-22,2025-06-30,0.071732,0.118678,0.274365,5285182000.000000,0.899000,43650473000.000000,8474978037.00,8474390037.00
sh.600031,2025-10-31,2025-09-30,0.098174,0.110110,0.276162,7238745000.000000,0.972705,,8474390037.00,8474390037.00
sh.600031,2024-04-29,2024-03-31,0.022977,0.091908,0.281470,1623296000.000000,0.541060,,8485740237.00,8464215837.00
sh.600031,2024-08-30,2024-06-30,0.052094,0.094182,0.282417,3648431000.000000,0.552837,37829951000.000000,8485740237.00,8464215837.00
