date,code,name
2026/3/1,sz.000012,南  玻A
2026/3/1,sz.000019,深粮控股
2026/3/1,sz.000028,国药一致
2026/3/1,sz.000029,深深房A
2026/3/1,sz.000030,富奥股份
2026/3/1,sz.000035,中国天楹
2026/3/1,sz.000048,京基智农
2026/3/1,sz.000049,德赛电池
2026/3/1,sz.000058,深赛格
2026/3/1,sz.000059,华锦股份
2026/3/1,sz.000061,农 产 品
2026/3/1,sz.000065,北方国际
2026/3/1,sz.000089,深圳机场
2026/3/1,sz.000099,中信海直
2026/3/1,sz.000156,华数传媒
2026/3/1,sz.000403,派林生物
2026/3/1,sz.000420,吉林化纤
2026/3/1,sz.000422,湖北宜化
2026/3/1,sz.000498,山东路桥
2026/3/1,sz.000503,国新健康
2026/3/1,sz.000543,皖能电力
2026/3/1,sz.000550,江铃汽车
2026/3/1,sz.000552,甘肃能化
2026/3/1,sz.000555,神州信息
2026/3/1,sz.000557,西部创业
2026/3/1,sz.000567,海德股份
2026/3/1,sz.000581,威孚高科
2026/3/1,sz.000589,贵州轮胎
2026/3/1,sz.000597,东北制药
2026/3/1,sz.000600,建投能源
2026/3/1,sz.000603,盛达资源
2026/3/1,sz.000612,焦作万方
2026/3/1,sz.000620,盈新发展
2026/3/1,sz.000628,高新发展
2026/3/1,sz.000636,风华高科
2026/3/1,sz.000650,仁和药业
2026/3/1,sz.000672,上峰水泥
2026/3/1,sz.000676,智度股份
2026/3/1,sz.000680,山推股份
2026/3/1,sz.000681,视觉中国
2026/3/1,sz.000682,东方电子
2026/3/1,sz.000685,中山公用
2026/3/1,sz.000686,东北证券
2026/3/1,sz.000688,国城矿业
2026/3/1,sz.000690,宝新能源
2026/3/1,sz.000712,锦龙股份
2026/3/1,sz.000719,中原传媒
2026/3/1,sz.000727,冠捷科技
2026/3/1,sz.000737,北方铜业
2026/3/1,sz.000756,新华制药
2026/3/1,sz.000758,中色股份
2026/3/1,sz.000761,本钢板材
2026/3/1,sz.000762,西藏矿业
2026/3/1,sz.000766,通化金马
2026/3/1,sz.000767,晋控电力
2026/3/1,sz.000778,新兴铸管
2026/3/1,sz.000791,甘肃能源
2026/3/1,sz.000795,英洛华
2026/3/1,sz.000801,四川九洲
2026/3/1,sz.000810,创维数字
2026/3/1,sz.000811,冰轮环境
2026/3/1,sz.000813,德展健康
2026/3/1,sz.000828,东莞控股
2026/3/1,sz.000829,天音控股
2026/3/1,sz.000833,粤桂股份
2026/3/1,sz.000837,秦川机床
2026/3/1,sz.000848,承德露露
2026/3/1,sz.000860,顺鑫农业
2026/3/1,sz.000875,电投绿能
2026/3/1,sz.000880,潍柴重机
2026/3/1,sz.000885,城发环境
2026/3/1,sz.000899,赣能股份
2026/3/1,sz.000901,航天科技
2026/3/1,sz.000902,新洋丰
2026/3/1,sz.000913,钱江摩托
2026/3/1,sz.000917,电广传媒
2026/3/1,sz.000923,河钢资源
2026/3/1,sz.000927,中国铁物
2026/3/1,sz.000928,中钢国际
2026/3/1,sz.000930,中粮科技
2026/3/1,sz.000935,四川双马
2026/3/1,sz.000950,重药控股
2026/3/1,sz.000966,长源电力
2026/3/1,sz.000969,安泰科技
2026/3/1,sz.000970,中科三环
2026/3/1,sz.000990,诚志股份
2026/3/1,sz.001203,大中矿业
2026/3/1,sz.001227,兰州银行
2026/3/1,sz.001236,弘业期货
2026/3/1,sz.001287,中电港
2026/3/1,sz.001301,尚太科技
2026/3/1,sz.001308,康冠科技
2026/3/1,sz.001309,德明利
2026/3/1,sz.001337,四川黄金
2026/3/1,sz.001339,智微智能
2026/3/1,sz.001356,富岭股份
2026/3/1,sz.001914,招商积余
2026/3/1,sz.002003,伟星股份
2026/3/1,sz.002004,华邦健康
2026/3/1,sz.002006,精工科技
2026/3/1,sz.002010,传化智联
2026/3/1,sz.002011,盾安环境
2026/3/1,sz.002015,协鑫能科
2026/3/1,sz.002017,东信和平
2026/3/1,sz.002019,亿帆医药
2026/3/1,sz.002020,京新药业
2026/3/1,sz.002023,海特高新
2026/3/1,sz.002036,联创电子
2026/3/1,sz.002038,双鹭药业
2026/3/1,sz.002041,登海种业
2026/3/1,sz.002043,兔宝宝
2026/3/1,sz.002045,国光电器
2026/3/1,sz.002046,国机精工
2026/3/1,sz.002048,宁波华翔
2026/3/1,sz.002051,中工国际
2026/3/1,sz.002053,云南能投
2026/3/1,sz.002060,广东建工
2026/3/1,sz.002061,浙江交科
2026/3/1,sz.002063,远光软件
2026/3/1,sz.002068,黑猫股份
2026/3/1,sz.002073,软控股份
2026/3/1,sz.002075,沙钢股份
2026/3/1,sz.002077,大港股份
2026/3/1,sz.002079,苏州固锝
2026/3/1,sz.002081,金螳螂
2026/3/1,sz.002091,江苏国泰
2026/3/1,sz.002093,国脉科技
2026/3/1,sz.002096,易普力
2026/3/1,sz.002097,山河智能
2026/3/1,sz.002099,海翔药业
2026/3/1,sz.002100,天康生物
2026/3/1,sz.002101,广东鸿图
2026/3/1,sz.002104,恒宝股份
2026/3/1,sz.002110,三钢闽光
2026/3/1,sz.002123,梦网科技
2026/3/1,sz.002125,湘潭电化
2026/3/1,sz.002127,南极电商
2026/3/1,sz.002139,拓邦股份
2026/3/1,sz.002145,钛能化学
2026/3/1,sz.002149,西部材料
2026/3/1,sz.002151,北斗星通
