code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sz.000009,2024-04-30,2024-03-31,0.007086,0.055197,0.265323,275970813.740000,0.227932,,2579213965.00,2551430324.00
sz.000009,2024-08-30,2024-06-30,0.019667,0.058577,0.269113,587513213.730000,0.178575,10029771698.370000,2579213965.00,2551430324.00
sz.000009,2024-10-31,2024-09-30,0.038385,0.062632,0.272939,916672323.790000,0.179635,,2579213965.00,2551430324.00
sz.000009,2025-04-16,2024-12-31,0.017396,0.051035,0.272782,1032323948.080000,0.066929,20227883804.410000,2579213965.00,2551430324.00
sz.000009,2025-04-30,2025-03-31,0.016841,0.086157,0.282527,419047320.060000,0.104850,,2579213965.00,2551430324.00
sz.000009,2025-08-29,2025-06-30,0.024430,0.077734,0.277551,842582575.040000,0.085538,10839305325.030000,2579213965.00,2553775890.00
sz.000009,2025-10-31,2025-09-30,0.028333,0.078449,0.265713,1318915652.140000,0.027325,,2579213965.00,2576020465.00
sz.000021,2024-04-30,2024-03-31,0.011086,0.055512,0.166000,173550111.890000,0.426366,,1560587588.00,1559998402.00
sz.000021,2024-08-30,2024-06-30,0.032751,0.066404,0.166992,468450461.710000,0.453726,7018595389.290000,1560587588.00,1560423713.00
sz.000021,2024-10-30,2024-09-30,0.058721,0.074838,0.166014,812119811.670000,0.550727,,1560587588.00,1560423713.00
sz.000021,2025-04-25,2024-12-31,0.081470,0.073345,0.169794,1087504386.210000,0.596151,14749193989.410000,1560587588.00,1560423713.00
sz.000021,2025-04-30,2025-03-31,0.014891,0.067735,0.162378,227903984.660000,0.632762,,1560587588.00,1560423713.00
sz.000021,2025-08-28,2025-06-30,0.037335,0.077553,0.157482,600230676.480000,0.651987,7688809472.790000,1567280671.00,1567029346.00
sz.000021,2025-10-30,2025-09-30,0.061412,0.087654,0.169117,988544343.710000,0.651975,,1571680518.00,1571429193.00
sz.000027,2024-04-30,2024-03-31,0.023439,0.124492,0.240040,1196329046.400000,0.529068,,4757389916.00,4757389916.00
sz.000027,2024-08-23,2024-06-30,0.037305,0.106036,0.223010,2099403726.350000,0.404003,19798975398.170000,4757389916.00,4757389916.00
sz.000027,2024-10-31,2024-09-30,0.045058,0.090130,0.220349,2741251723.690000,0.240485,,4757389916.00,4757389916.00
sz.000027,2025-04-18,2024-12-31,0.042155,0.063865,0.196598,2632096051.010000,0.421481,41213608804.880000,4757389916.00,4757389916.00
sz.000027,2025-04-30,2025-03-31,0.027425,0.160406,0.262632,1568832806.390000,0.473299,,4757389916.00,4757389916.00
sz.000027,2025-08-28,2025-06-30,0.034659,0.105883,0.233447,2238276517.360000,0.411158,21139145394.230000,4757389916.00,4757389916.00
sz.000027,2025-10-31,2025-09-30,0.039825,0.087342,0.229110,2833360691.130000,0.387636,,4757389916.00,4757389916.00
sz.000032,2024-04-30,2024-03-31,0.002630,0.007981,0.102126,122707687.690000,0.354377,,1137959234.00,644763811.00
sz.000032,2024-08-28,2024-06-30,-0.005913,0.004448,0.095446,147897138.890000,0.387170,33250166315.010000,1137959234.00,644763811.00
sz.000032,2024-10-30,2024-09-30,-0.020184,0.000672,0.091311,32540886.770000,0.415502,,1137959234.00,644763811.00
sz.000032,2025-04-25,2024-12-31,0.050791,0.012169,0.101764,820042754.020000,0.289752,67389424494.270000,1137959234.00,644763811.00
sz.000032,2025-04-25,2025-03-31,-0.005259,0.001496,0.084155,18769013.780000,0.244838,,1137959234.00,644763811.00
sz.000032,2025-08-28,2025-06-30,-0.015294,0.000996,0.092137,23329148.300000,0.237380,23434208172.610000,1137959234.00,1089363764.00
sz.000032,2025-10-29,2025-09-30,-0.047374,-0.008056,0.079969,-265991369.780000,0.138422,,1137959234.00,1089363764.00
sz.000034,2024-04-27,2024-03-31,0.026957,0.008545,0.045745,250119190.390000,1.788585,,669581480.00,550154289.00
sz.000034,2024-08-31,2024-06-30,0.057762,0.008393,0.044521,525096646.460000,1.863450,62562141764.490000,669581817.00,550509713.00
sz.000034,2024-10-31,2024-09-30,0.099916,0.010004,0.044928,916053334.410000,1.814043,,669582746.00,550884818.00
sz.000034,2025-03-29,2024-12-31,0.084562,0.006064,0.042108,777213469.900000,1.124119,128166392637.760000,669586506.00,552693874.00
sz.000034,2025-04-26,2025-03-31,0.021809,0.007443,0.037265,236532448.140000,1.033438,,711260675.00,594368043.00
sz.000034,2025-08-28,2025-06-30,0.042491,0.006299,0.034910,450952318.810000,0.929940,71585506815.360000,720196154.00,601592443.00
sz.000034,2025-10-31,2025-09-30,0.065852,0.006815,0.035493,697576321.520000,0.732188,,722761206.00,604157495.00
sz.000039,2024-04-30,2024-03-31,0.001716,0.006717,0.101780,217917000.000000,0.063923,,5392520385.00,2301407141.00
sz.000039,2024-08-29,2024-06-30,0.017717,0.017632,0.107264,1394930000.000000,0.164760,77081255000.000000,5392520385.00,2301407141.00
sz.000039,2024-10-30,2024-09-30,0.037043,0.021138,0.118391,2726205000.000000,0.325208,,5392520385.00,2301407141.00
sz.000039,2025-03-28,2024-12-31,0.059759,0.023613,0.125218,4195157000.000000,0.551197,177664098000.000000,5392520385.00,2301407141.00
sz.000039,2025-04-29,2025-03-31,0.010683,0.019978,0.120999,719751000.000000,0.636531,,5392520385.00,2301407141.00
sz.000039,2025-08-28,2025-06-30,0.024623,0.023182,0.126730,1763938000.000000,0.627669,76090392000.000000,5392520385.00,2301407141.00
sz.000039,2025-10-31,2025-09-30,0.030034,0.020458,0.122273,2394857000.000000,0.502536,,5392520385.00,2301407141.00
sz.000050,2024-04-27,2024-03-31,-0.010820,-0.039221,0.111681,-303942904.050000,-0.706365,,2457747661.00,2375794164.00
sz.000050,2024-08-31,2024-06-30,-0.017675,-0.030950,0.117905,-492011345.670000,-0.473094,15778727799.210000,2457747661.00,2375794164.00
sz.000050,2024-10-31,2024-09-30,-0.017052,-0.019817,0.133492,-475887770.900000,-0.317371,,2457747661.00,2457719086.00
sz.000050,2025-03-15,2024-12-31,-0.024219,-0.020642,0.132805,-691400508.210000,-0.272029,33191718973.380000,2457747661.00,2457719086.00
sz.000050,2025-04-22,2025-03-31,0.003530,0.008212,0.162471,68251562.740000,-0.110436,,2457747661.00,2457719086.00
sz.000050,2025-08-23,2025-06-30,0.007520,0.009964,0.162114,174128819.380000,0.010869,17309879041.930000,2457747661.00,2457716686.00
sz.000050,2025-10-31,2025-09-30,0.011437,0.010469,0.164692,279141467.660000,0.047670,,2457747661.00,2457716686.00
sz.000060,2024-04-29,2024-03-31,0.018017,0.017687,0.046484,318616801.250000,0.162401,,3737590181.00,3737314556.00
sz.000060,2024-08-28,2024-06-30,0.040183,0.022425,0.056498,686595131.160000,0.184445,30532523529.390000,3737590653.00,3737303778.00
sz.000060,2024-10-29,2024-09-30,0.058796,0.021582,0.058935,986031038.000000,0.206355,,3737591106.00,3737304231.00
sz.000060,2025-04-15,2024-12-31,0.078636,0.022082,0.060809,1320803678.070000,0.289455,59812478789.840000,3737596125.00,3737309250.00
sz.000060,2025-04-30,2025-03-31,0.019062,0.019057,0.051233,306287975.110000,0.298465,,3737596809.00,3737314153.00
sz.000060,2025-08-30,2025-06-30,0.038210,0.019635,0.057235,610414784.480000,0.293973,30950938630.040000,3737601761.00,3737545511.00
sz.000060,2025-10-29,2025-09-30,0.054850,0.018394,0.054473,891374368.550000,0.300526,,3737604976.00,3737548726.00
sz.000062,2024-04-30,2024-03-31,0.007970,0.016167,0.085690,72106208.540000,0.381918,,1045909322.00,1044547525.00
sz.000062,2024-08-31,2024-06-30,0.024667,0.020294,0.083349,210662817.440000,0.360603,10380749134.050000,1045909322.00,1044420366.00
sz.000062,2024-10-30,2024-09-30,0.037083,0.019475,0.082487,317056183.940000,0.308915,,1045909322.00,1044420366.00
sz.000062,2025-03-14,2024-12-31,0.030142,0.012419,0.084280,272642330.280000,0.203618,21953724057.410000,1045909322.00,1044929000.00
sz.000062,2025-04-29,2025-03-31,0.015073,0.024077,0.084016,125896918.400000,0.249672,,1045909322.00,1044929000.00
sz.000062,2025-08-27,2025-06-30,0.033845,0.024778,0.083472,273734337.430000,0.260088,11047472317.000000,1045909322.00,1044927241.00
sz.000062,2025-10-29,2025-09-30,0.052202,0.024139,0.083205,426246241.180000,0.294286,,1045909322.00,1044927241.00
sz.000088,2024-04-30,2024-03-31,0.019148,1.350112,0.275166,268522878.300000,0.274011,,4285724351.00,2249135473.00
sz.000088,2024-08-31,2024-06-30,0.047526,1.599890,0.280269,650829871.300000,0.264757,406796658.420000,4285724351.00,2249135473.00
sz.000088,2024-10-31,2024-09-30,0.074960,1.680957,0.249278,1030680817.990000,0.271247,,4285724351.00,2249135473.00
sz.000088,2025-04-24,2024-12-31,0.086584,1.741156,0.243441,1381725328.170000,0.259512,793567994.500000,5199483346.00,2249135473.00
sz.000088,2025-04-29,2025-03-31,0.017356,1.863565,0.223699,318587345.400000,0.270212,,5199483346.00,2249135473.00
sz.000088,2025-08-30,2025-06-30,0.036721,1.732101,0.285289,673003881.780000,0.264431,388547775.330000,5199483346.00,3162894468.00
sz.000088,2025-10-30,2025-09-30,0.059495,1.788578,0.298126,1102019539.680000,0.272374,,5199483346.00,3162894468.00
sz.000155,2024-04-29,2024-03-31,0.054722,0.496328,0.703111,497862810.150000,0.634741,,1475926818.00,1296928295.00
sz.000155,2024-08-30,2024-06-30,0.070898,0.392440,0.591217,707584448.460000,0.527800,1803037698.270000,1846168342.00,1296927470.00
sz.000155,2024-10-31,2024-09-30,0.071686,0.283570,0.539378,645710994.940000,0.467650,,1846168342.00,1296927470.00
sz.000155,2025-04-28,2024-12-31,0.082300,0.237506,0.500753,725548198.700000,0.393729,3054861977.340000,1846168342.00,1693522368.00
sz.000155,2025-04-30,2025-03-31,0.022782,0.323301,0.521953,270405107.310000,0.296831,,1846168342.00,1693526193.00
sz.000155,2025-08-29,2025-06-30,0.029333,0.216899,0.473031,322324585.160000,0.216318,1486055184.400000,1846168342.00,1846168342.00
sz.000155,2025-10-28,2025-09-30,0.033746,0.209487,0.437207,438933929.230000,0.240807,,1846168342.00,1846168342.00
sz.000400,2024-04-30,2024-03-31,0.021896,0.093804,0.182701,263546497.940000,1.061458,,1019009309.00,1008322059.00
sz.000400,2024-08-30,2024-06-30,0.057697,0.105759,0.209034,722920797.400000,1.044396,6835568793.060000,1019009309.00,1008320309.00
sz.000400,2024-10-31,2024-09-30,0.081171,0.106677,0.219411,1022607020.180000,1.069554,,1018874309.00,1008320309.00
sz.000400,2025-04-11,2024-12-31,0.101537,0.075614,0.207741,1292177503.620000,1.096234,17089133346.790000,1018874309.00,1008322059.00
sz.000400,2025-04-11,2025-03-31,0.018198,0.100642,0.234693,236322518.200000,1.067206,,1018874309.00,1008322059.00
sz.000400,2025-08-21,2025-06-30,0.054867,0.110060,0.237511,709580074.560000,1.102315,6447195257.350000,1018749309.00,1008322059.00
sz.000400,2025-10-28,2025-09-30,0.077913,0.105622,0.238815,998494590.090000,1.103124,,1018622249.00,1011701259.00
sz.000415,2024-04-30,2024-03-31,0.012962,0.074740,0.424178,640232000.000000,0.230302,,6184521282.00,5392739135.00
sz.000415,2024-08-31,2024-06-30,0.023687,0.075046,0.460260,1214129000.000000,0.237955,16178569000.000000,6184521282.00,5392712510.00
sz.000415,2024-10-31,2024-09-30,0.052943,0.096060,0.463892,2409836000.000000,0.327041,,6184521282.00,5392712510.00
sz.000415,2025-04-03,2024-12-31,0.029602,0.061598,0.407163,2367282000.000000,0.146162,38431263000.000000,6184521282.00,5392955733.00
sz.000415,2025-04-30,2025-03-31,0.021206,0.059185,0.247477,1013085000.000000,0.191549,,6184521282.00,5392955733.00
sz.000415,2025-08-30,2025-06-30,-0.067316,-0.045853,0.282250,-1304970000.000000,-0.296100,28460034000.000000,6184521282.00,5392955733.00
sz.000415,2025-10-31,2025-09-30,-0.045498,-0.007582,0.303180,-305415000.000000,-0.332872,,6184521282.00,5392955733.00
sz.000423,2024-04-26,2024-03-31,0.032549,0.243269,0.717873,353563445.960000,1.978249,,643976824.00,643976824.00
sz.000423,2024-08-22,2024-06-30,0.070480,0.268810,0.735388,738679252.490000,2.109057,2747957878.260000,643976824.00,643976824.00
sz.000423,2024-10-31,2024-09-30,0.111676,0.266132,0.741258,1152145315.530000,2.359078,,643976824.00,643976824.00
sz.000423,2025-03-18,2024-12-31,0.148080,0.263001,0.724185,1557172058.580000,2.417790,5920785955.410000,643976824.00,643976824.00
sz.000423,2025-04-28,2025-03-31,0.040387,0.247318,0.736171,425021406.210000,2.528932,,643976824.00,643976824.00
sz.000423,2025-08-22,2025-06-30,0.079311,0.268045,0.731252,817729446.640000,2.540928,3050717291.690000,643976824.00,643976824.00
sz.000423,2025-10-25,2025-09-30,0.125759,0.267870,0.736853,1276768199.270000,2.606290,,643976824.00,643018085.00
sz.000426,2024-04-30,2024-03-31,0.034816,0.294186,0.559100,224840905.690000,0.644846,,1837192219.00,1477884862.00
sz.000426,2024-08-28,2024-06-30,0.129048,0.395700,0.646314,869854862.690000,0.936320,2193928316.910000,1837192219.00,1477956112.00
sz.000426,2024-10-31,2024-09-30,0.184004,0.388335,0.643069,1280123814.710000,0.939603,,1837192219.00,1674547341.00
sz.000426,2025-04-28,2024-12-31,0.212823,0.351702,0.629517,1501903588.730000,0.861584,4245740581.250000,1775635739.00,1775205464.00
sz.000426,2025-04-28,2025-03-31,0.046281,0.318569,0.555659,366126847.330000,0.943248,,1775635739.00,1775205464.00
sz.000426,2025-08-26,2025-06-30,0.096562,0.316653,0.568965,783114612.500000,0.812171,2455349346.830000,1775635739.00,1775205464.00
sz.000426,2025-10-31,2025-09-30,0.159925,0.330219,0.576490,1353709663.750000,0.897758,,1775635739.00,1775205464.00
sz.000429,2024-04-29,2024-03-31,0.041738,0.498564,0.683171,560618118.350000,0.786619,,2090806126.00,1303329906.00
sz.000429,2024-08-30,2024-06-30,0.087792,0.509795,0.680389,1137283934.960000,0.766992,2204260409.980000,2090806126.00,1303329906.00
sz.000429,2024-10-25,2024-09-30,0.135308,0.516460,0.682391,1808806778.250000,0.781499,,2090806126.00,1303329906.00
sz.000429,2025-03-04,2024-12-31,0.153785,0.460166,0.643083,2102912782.050000,0.747139,4499825267.430000,2090806126.00,1303329006.00
sz.000429,2025-04-30,2025-03-31,0.060977,0.843885,0.677465,886011914.520000,0.860385,,2090806126.00,1303329006.00
sz.000429,2025-08-29,2025-06-30,0.100772,0.679847,0.682001,1439890677.170000,0.843603,2087814658.070000,2090806126.00,1303329906.00
sz.000429,2025-10-29,2025-09-30,0.144992,0.629139,0.688868,2115484501.200000,0.837425,,2090806126.00,1303329906.00
sz.000513,2024-04-24,2024-03-31,0.042433,0.220820,0.646711,716078960.150000,2.136272,,926644744.00,596902793.00
sz.000513,2024-08-23,2024-06-30,0.083753,0.215636,0.659594,1354699134.300000,2.148328,6282354251.220000,926325484.00,599427634.00
sz.000513,2024-10-24,2024-09-30,0.118629,0.214268,0.658101,1945894899.560000,2.185205,,926608853.00,599711003.00
sz.000513,2025-03-27,2024-12-31,0.147723,0.195091,0.654505,2304484952.490000,2.261596,11812338854.680000,911345730.00,584333053.00
sz.000513,2025-04-24,2025-03-31,0.045434,0.252674,0.649591,803641985.420000,2.293290,,911345730.00,584333053.00
sz.000513,2025-08-21,2025-06-30,0.093035,0.247328,0.660154,1551221238.590000,2.401517,6271912644.110000,904100430.00,584146308.00
sz.000513,2025-10-24,2025-09-30,0.126080,0.233685,0.663853,2130254657.630000,2.369717,,904100430.00,584146308.00
sz.000519,2024-04-26,2024-03-31,-0.001303,-0.015427,0.196032,-13665915.020000,0.609631,,1392558982.00,1392558982.00
sz.000519,2024-08-26,2024-06-30,0.004253,0.024946,0.245740,46616056.900000,0.551217,1868684236.570000,1392558982.00,1392558982.00
sz.000519,2024-10-28,2024-09-30,-0.005772,-0.024063,0.225462,-65420683.840000,0.404093,,1392558982.00,1392558982.00
sz.000519,2025-04-24,2024-12-31,-0.031511,-0.080505,0.152413,-367843281.720000,-0.235054,4569178640.700000,1392558982.00,1392558982.00
sz.000519,2025-04-29,2025-03-31,-0.012665,-0.224753,0.144344,-139256237.480000,-0.317847,,1392558982.00,1392558982.00
sz.000519,2025-08-22,2025-06-30,-0.003976,-0.023206,0.181384,-50893049.260000,-0.296308,2193124326.360000,1392558982.00,1392558982.00
sz.000519,2025-10-28,2025-09-30,-0.005749,-0.021373,0.182849,-73186921.750000,-0.234060,,1392558982.00,1392558982.00
sz.000528,2024-04-27,2024-03-31,0.029673,0.064928,0.227861,515455760.410000,0.538456,,1951215413.00,1413730637.00
sz.000528,2024-08-29,2024-06-30,0.058100,0.063304,0.234041,1016662113.220000,0.625379,16060005052.720000,1978628263.00,1440325463.00
sz.000528,2024-10-23,2024-09-30,0.077589,0.059401,0.234830,1357663882.570000,0.686493,,1984192335.00,1445889535.00
sz.000528,2025-03-29,2024-12-31,0.077829,0.046131,0.225002,1386828149.980000,0.657200,30062709198.120000,2019231263.00,1480928463.00
sz.000528,2025-04-26,2025-03-31,0.036982,0.070321,0.220071,643367120.530000,0.736090,,2019239264.00,2018437975.00
sz.000528,2025-08-27,2025-06-30,0.069041,0.063376,0.223225,1152243041.580000,0.779227,18181039589.020000,2019243764.00,2018505477.00
sz.000528,2025-10-25,2025-09-30,0.081233,0.049271,0.222517,1269222202.680000,0.720405,,2032200321.00,2030679012.00
sz.000537,2024-04-30,2024-03-31,0.009687,0.249347,0.544869,213498626.750000,0.457464,,1862520720.00,1862520720.00
sz.000537,2024-08-30,2024-06-30,0.025672,0.300484,0.573548,542271454.870000,0.401437,1804657541.640000,2066602352.00,1862520720.00
sz.000537,2024-10-30,2024-09-30,0.049936,0.367883,0.592258,1075720552.360000,0.496997,,2066602352.00,1862520720.00
sz.000537,2025-04-29,2024-12-31,0.054885,0.308182,0.547082,1183484089.270000,0.488034,3840214222.410000,2066602352.00,2066602352.00
sz.000537,2025-04-29,2025-03-31,0.012888,0.339917,0.527816,348692891.230000,0.530213,,2066602352.00,2066602352.00
sz.000537,2025-08-29,2025-06-30,0.031385,0.366843,0.570324,855985478.910000,0.562379,2333381593.080000,2066602352.00,2066602352.00
sz.000537,2025-10-27,2025-09-30,0.040679,0.324272,0.521451,1202119763.270000,0.434795,,2066602352.00,2066602352.00
sz.000539,2024-04-30,2024-03-31,0.005726,0.023185,0.111599,296517543.000000,0.192849,,5250283986.00,2553912699.00
sz.000539,2024-08-31,2024-06-30,0.040290,0.047176,0.133104,1230281171.000000,0.194477,25944529404.000000,5250283986.00,2553896649.00
sz.000539,2024-10-31,2024-09-30,0.064302,0.048784,0.138168,2074185618.000000,0.136163,,5250283986.00,2553896649.00
sz.000539,2025-03-29,2024-12-31,0.042821,0.030701,0.133630,1754833226.000000,0.183655,56860158480.000000,5250283986.00,2553896649.00
sz.000539,2025-04-30,2025-03-31,-0.016801,-0.045510,0.045085,-481177149.000000,0.086675,,5250283986.00,2553896649.00
sz.000539,2025-08-28,2025-06-30,0.001417,0.004204,0.088710,97295326.000000,0.017862,23024016646.000000,5250283986.00,2553912699.00
sz.000539,2025-10-31,2025-09-30,0.025208,0.023106,0.114858,871490979.000000,0.015447,,5250283986.00,2553912699.00
sz.000559,2024-04-30,2024-03-31,0.030961,0.079096,0.147295,281251283.770000,0.254226,,3303791344.00,3303629789.00
sz.000559,2024-08-27,2024-06-30,0.055233,0.066327,0.156496,494039538.380000,0.264803,7318983434.650000,3303791344.00,3303778789.00
sz.000559,2024-10-26,2024-09-30,0.079762,0.066615,0.161432,722580315.550000,0.282081,,3303791344.00,3303778789.00
sz.000559,2025-04-26,2024-12-31,0.105611,0.074401,0.178789,957419861.480000,0.287852,12645867155.980000,3303791344.00,3303778789.00
sz.000559,2025-04-26,2025-03-31,0.031528,0.084494,0.179343,295591354.250000,0.292308,,3303791344.00,3303778789.00
sz.000559,2025-08-27,2025-06-30,0.058588,0.078028,0.182599,539205006.740000,0.301631,6832223296.410000,3303791344.00,3303778789.00
sz.000559,2025-10-28,2025-09-30,0.083375,0.074968,0.173257,780089941.260000,0.303963,,3315358444.00,3314544214.00
sz.000563,2024-04-26,2024-03-31,0.021282,0.514377,,367597039.980000,0.218227,,5113970358.00,5113970358.00
sz.000563,2024-08-27,2024-06-30,0.039772,0.487245,,686189518.090000,0.228659,1408304118.730000,5113970358.00,5113970358.00
sz.000563,2024-10-29,2024-09-30,0.053850,0.463418,,934382745.460000,0.231658,,5113970358.00,5113970358.00
sz.000563,2025-03-18,2024-12-31,0.077827,0.464898,,1361053904.360000,0.266144,2927639556.380000,5113970358.00,5113970358.00
sz.000563,2025-04-25,2025-03-31,0.021403,0.547828,,386984542.380000,0.269935,,5113970358.00,5113970358.00
sz.000563,2025-08-27,2025-06-30,0.040039,0.530881,,725609363.750000,0.273853,1366801195.510000,5113970358.00,5113970358.00
sz.000563,2025-10-28,2025-09-30,0.054632,0.460909,,996052827.950000,0.278203,,5113970358.00,5113970358.00
sz.000563,2026-02-10,2025-12-31,0.077791,0.485211,,1432568054.950000,0.280128,2952464974.090000,5113970358.00,5113970358.00
sz.000582,2024-04-30,2024-03-31,0.028343,0.274882,0.317992,423208654.680000,0.722468,,1771937534.00,1411454553.00
sz.000582,2024-08-24,2024-06-30,0.040663,0.217247,0.313256,692808409.850000,0.505634,3189028451.300000,2277555761.00,1411454803.00
sz.000582,2024-10-25,2024-09-30,0.058594,0.206250,0.310909,1011054140.710000,0.524764,,2277555761.00,1411433628.00
sz.000582,2025-04-25,2024-12-31,0.078089,0.192202,0.320663,1346041224.150000,0.535259,7003254738.880000,2277553199.00,1761259461.00
sz.000582,2025-04-29,2025-03-31,0.011064,0.133994,0.297369,220181633.730000,0.449600,,2277553601.00,1761281038.00
sz.000582,2025-08-23,2025-06-30,0.029243,0.168041,0.315762,597518672.200000,0.472746,3555785138.620000,2369644158.00,1853371595.00
sz.000582,2025-10-28,2025-09-30,0.043137,0.162966,0.313103,902066567.300000,0.460763,,2369655657.00,1853367894.00
sz.000591,2024-04-27,2024-03-31,0.015152,0.248712,0.439419,350809144.160000,0.393803,,3911624369.00,3597561746.00
sz.000591,2024-08-28,2024-06-30,0.035254,0.251296,0.452898,814997390.280000,0.381863,3243180622.190000,3913541205.00,3598415932.00
sz.000591,2024-10-30,2024-09-30,0.055304,0.270821,0.484438,1292669776.080000,0.362827,,3913626724.00,3598501451.00
sz.000591,2025-04-24,2024-12-31,0.052808,0.203252,0.458557,1227456062.820000,0.312828,6039099376.150000,3917125964.00,3602651891.00
sz.000591,2025-04-30,2025-03-31,0.012240,0.223995,0.447856,291295276.590000,0.297000,,3917797839.00,3602672566.00
sz.000591,2025-08-28,2025-06-30,0.028555,0.251798,0.490141,679097221.500000,0.277609,2696987503.950000,3918568213.00,3603989140.00
sz.000591,2025-10-30,2025-09-30,0.047073,0.275189,0.516952,1128601148.760000,0.270293,,3921204018.00,3920652093.00
sz.000598,2024-04-26,2024-03-31,0.027067,0.253800,0.438492,468485822.270000,0.643647,,2984996321.00,2968576321.00
sz.000598,2024-08-28,2024-06-30,0.055046,0.238417,0.430759,955575358.970000,0.644691,4008000536.370000,2984996321.00,2968576321.00
sz.000598,2024-10-25,2024-09-30,0.094448,0.268684,0.447574,1669231972.770000,0.663161,,2984996321.00,2974918721.00
sz.000598,2025-04-18,2024-12-31,0.114707,0.227087,0.414535,2054837409.340000,0.668843,9048669804.990000,2984434721.00,2974840721.00
sz.000598,2025-04-29,2025-03-31,0.027503,0.256873,0.460250,519718967.700000,0.685971,,2984434721.00,2974840721.00
sz.000598,2025-08-28,2025-06-30,0.052916,0.238239,0.456181,998710141.970000,0.684494,4192054241.580000,2984434721.00,2974798221.00
sz.000598,2025-10-29,2025-09-30,0.093734,0.276783,0.478987,1812316757.850000,0.715110,,2984434721.00,2979343221.00
sz.000623,2024-04-30,2024-03-31,0.005155,0.154008,0.385630,132653063.680000,0.900648,,1241069418.00,1236755874.00
sz.000623,2024-08-31,2024-06-30,0.019345,0.367008,0.377432,518119313.560000,0.781137,1349529012.590000,1195895387.00,1191581843.00
sz.000623,2024-10-31,2024-09-30,0.044267,0.638146,0.391236,1218546029.350000,1.195524,,1195895387.00,1191581843.00
sz.000623,2025-04-23,2024-12-31,0.055171,0.581937,0.402627,1519190955.960000,1.297265,2536712534.340000,1195895387.00,1191079343.00
sz.000623,2025-04-30,2025-03-31,0.017684,0.829576,0.471146,516513643.370000,1.609311,,1195895387.00,1191079343.00
sz.000623,2025-08-30,2025-06-30,0.043451,1.135061,0.484230,1278506152.110000,1.919458,1119354049.280000,1195895387.00,1191023393.00
sz.000623,2025-10-31,2025-09-30,0.075861,1.374937,0.470158,2255329694.190000,2.147156,,1195895387.00,1191023393.00
sz.000629,2024-04-30,2024-03-31,0.005600,0.021461,0.080775,76964614.460000,0.085681,,9295033245.00,9195473670.00
sz.000629,2024-08-20,2024-06-30,0.011233,0.020401,0.072264,146022518.950000,0.063678,7157581281.150000,9295033245.00,9195473670.00
sz.000629,2024-10-18,2024-09-30,0.014958,0.018265,0.068886,191299869.860000,0.039994,,9294970045.00,9195473670.00
sz.000629,2025-03-29,2024-12-31,0.023191,0.021881,0.075871,289022091.000000,0.030684,13208840921.580000,9294970045.00,9195471170.00
sz.000629,2025-04-28,2025-03-31,-0.007884,-0.045613,0.037044,-96783102.420000,0.012808,,9294970045.00,9290600424.00
sz.000629,2025-08-26,2025-06-30,-0.016082,-0.050353,0.049254,-214195905.340000,-0.005530,4253872168.510000,9294970045.00,9290270724.00
sz.000629,2025-10-27,2025-09-30,-0.012012,-0.027663,0.069331,-180687876.000000,-0.005022,,9294970045.00,9290270724.00
sz.000657,2024-04-26,2024-03-31,0.010992,0.027053,0.141606,80259361.070000,0.321096,,1397378114.00,1239790682.00
sz.000657,2024-08-23,2024-06-30,0.025482,0.026625,0.149122,181230433.860000,0.278688,6678505692.740000,1397378114.00,1239803222.00
sz.000657,2024-10-26,2024-09-30,0.035486,0.025658,0.148590,262446953.460000,0.268527,,1397378114.00,1248546522.00
