date,code,open,high,low,close,volume
2025-01-02,sh.000905,5717.9157,5722.1107,5498.8216,5545.8174,19376315700.0
2025-01-03,sh.000905,5552.75,5581.3978,5419.7429,5427.8041,17407731000.0
2025-01-06,sh.000905,5421.0653,5482.6253,5384.3326,5427.1007,14626565800.0
2025-01-07,sh.000905,5429.1729,5485.5848,5405.1327,5484.6847,14506527800.0
2025-01-08,sh.000905,5462.324,5501.6555,5326.9259,5461.5861,16384991500.0
2025-01-09,sh.000905,5437.8128,5493.6799,5436.7036,5456.5863,12983262700.0
2025-01-10,sh.000905,5449.0014,5496.3833,5369.2811,5369.2811,13017955300.0
2025-01-13,sh.000905,5319.7013,5422.0115,5319.2741,5381.6974,11968293700.0
2025-01-14,sh.000905,5393.763,5582.835,5378.5875,5572.2722,17214286000.0
2025-01-15,sh.000905,5559.5785,5569.1895,5509.5757,5522.459,13839324300.0
2025-01-16,sh.000905,5546.6997,5633.8547,5508.9146,5545.6336,14931808500.0
2025-01-17,sh.000905,5524.205,5621.9367,5519.4109,5587.2939,12669117400.0
2025-01-20,sh.000905,5621.9247,5665.183,5598.1584,5614.3311,13571250700.0
2025-01-21,sh.000905,5639.6037,5642.9168,5573.5002,5633.9249,12649130000.0
2025-01-22,sh.000905,5606.8472,5618.581,5567.7793,5607.0594,11537499600.0
2025-01-23,sh.000905,5659.3685,5717.6887,5584.2548,5584.2548,16341998700.0
2025-01-24,sh.000905,5570.48,5660.4337,5570.48,5649.9504,13943805800.0
2025-01-27,sh.000905,5660.4848,5676.0261,5589.3432,5589.3432,13654605600.0
2025-02-05,sh.000905,5643.1747,5646.0366,5588.5558,5614.3872,15567414100.0
2025-02-06,sh.000905,5606.8707,5749.0232,5597.3246,5747.9012,18142819300.0
2025-02-07,sh.000905,5750.2887,5889.4279,5741.7326,5833.9883,23271886300.0
2025-02-10,sh.000905,5858.2425,5895.4055,5836.1713,5888.5509,20930090500.0
2025-02-11,sh.000905,5890.3732,5890.3732,5827.3777,5858.2805,18192050800.0
2025-02-12,sh.000905,5841.3618,5940.5374,5841.3188,5940.5299,19544615500.0
2025-02-13,sh.000905,5938.2034,5957.5798,5889.6952,5898.2611,22828183900.0
2025-02-14,sh.000905,5893.9342,5954.477,5886.9501,5947.796,21191426100.0
2025-02-17,sh.000905,5979.8446,5985.3644,5906.2661,5948.7197,23390168900.0
2025-02-18,sh.000905,5935.4993,5947.9342,5816.0511,5840.7112,21494148200.0
2025-02-19,sh.000905,5834.9547,5945.3461,5831.4815,5943.8823,20529830500.0
2025-02-20,sh.000905,5941.599,5977.7301,5920.5681,5957.5465,19820741100.0
2025-02-21,sh.000905,5969.6462,6061.824,5943.1948,6057.0648,25231712800.0
2025-02-24,sh.000905,6057.3801,6079.0169,6007.1786,6044.973,24381379800.0
2025-02-25,sh.000905,5967.0367,6044.7559,5956.1761,5979.9653,20683395300.0
2025-02-26,sh.000905,5990.2901,6055.8727,5973.8574,6051.7401,21086089800.0
2025-02-27,sh.000905,6050.1864,6064.491,5940.3354,6028.9856,21665293000.0
2025-02-28,sh.000905,5997.9175,6007.4724,5847.1512,5859.8708,20522381400.0
2025-03-03,sh.000905,5875.9522,5964.2684,5851.56,5885.7696,18502458100.0
2025-03-04,sh.000905,5845.4712,5943.0837,5843.4633,5937.6302,15392221100.0
2025-03-05,sh.000905,5937.1074,5955.8988,5892.5332,5950.7034,16307150000.0
2025-03-06,sh.000905,5980.3798,6062.5412,5972.6039,6047.7734,21304285200.0
2025-03-07,sh.000905,6029.3813,6067.3481,5989.3206,6013.7747,20743714900.0
2025-03-10,sh.000905,6022.6814,6041.5219,5971.8131,6013.6191,17304433600.0
2025-03-11,sh.000905,5944.4197,6044.9742,5942.9124,6044.9742,17385564300.0
2025-03-12,sh.000905,6068.3762,6098.2352,6038.8221,6040.4965,18476353700.0
