date,code,open,high,low,close,preclose,volume,amount,pctChg
2026-02-02,sh.000001,4079.7075,4103.4073,4013.6557,4015.7464,4117.9476,73295369800,1163532654161.8000,-2.481848
2026-02-03,sh.000001,4043.9061,4069.4179,4002.7820,4067.7379,4015.7464,63768424900,1110720213016.3000,1.294691
2026-02-04,sh.000001,4064.6772,4104.6207,4062.6825,4102.2020,4067.7379,67425424400,1063544769928.3000,0.847255
2026-02-05,sh.000001,4075.0254,4088.9041,4048.9390,4075.9167,4102.2020,59672223600,946988891270.6000,-0.640761
2026-02-06,sh.000001,4040.2992,4095.0303,4029.9731,4065.5834,4075.9167,55670980100,898655032959.0000,-0.253521
2026-02-09,sh.000001,4103.5396,4123.1587,4093.0561,4123.0897,4065.5834,57263258200,949726335965.8000,1.414466
2026-02-10,sh.000001,4127.7658,4134.3382,4117.5635,4128.3731,4123.0897,52462096900,882201747043.8000,0.128142
2026-02-11,sh.000001,4124.4277,4142.5612,4122.4283,4131.9850,4128.3731,50068527800,822607547250.8000,0.087490
2026-02-12,sh.000001,4136.9900,4140.5931,4124.1308,4134.0178,4131.9850,52937011600,897955034838.8000,0.049197
2026-02-13,sh.000001,4115.9243,4123.8443,4079.7702,4082.0726,4134.0178,50079947200,846808337462.1000,-1.256531
