date,code,open,high,low,close,preclose,volume,amount,pctChg
2026-02-02,sz.399001,14128.8678,14213.6125,13815.2819,13824.3512,14205.8925,81114236364,1421232461623.2400,-2.685796
2026-02-03,sz.399001,13986.8946,14129.5971,13815.2286,14127.1059,13824.3512,78291093443,1433511297107.3700,2.190010
2026-02-04,sz.399001,14072.4100,14173.7652,13958.0801,14156.2738,14127.1059,81523878047,1417426397866.2100,0.206468
2026-02-05,sz.399001,14020.8394,14074.3569,13874.0175,13952.7119,14156.2738,72622538063,1229230628001.2100,-1.437962
2026-02-06,sz.399001,13801.0314,14065.7768,13726.8594,13906.7345,13952.7119,73034954834,1247064306607.4500,-0.329523
2026-02-09,sz.399001,14115.1407,14211.7039,14060.6674,14208.4359,13906.7345,72636960194,1299746937980.2400,2.169463
2026-02-10,sz.399001,14200.7561,14258.5145,14165.4290,14210.6261,14208.4359,73300288412,1223333554475.6600,0.015415
2026-02-11,sz.399001,14186.6537,14250.3368,14156.1636,14160.9336,14210.6261,68193320105,1161644815719.2400,-0.349686
2026-02-12,sz.399001,14177.9670,14296.4803,14177.2868,14282.9983,14160.9336,69625970218,1243783316666.4000,0.861982
2026-02-13,sz.399001,14188.3464,14258.8259,14092.8401,14100.1897,14282.9983,64063961614,1135871601132.4000,-1.279904
