date,code,open,high,low,close,volume,turn,peTTM,psTTM,pcfNcfTTM,pbMRQ,roeAvg
2024-01-02,sh.600028,5.07492072,5.1385846,5.05673104,5.11130008,146220062.0,0.154,10.81442,0.201135,358.685986,0.83949,
2024-01-03,sh.600028,5.08401556,5.19315364,5.08401556,5.19315364,128603866.0,0.1354,10.987605,0.204356,364.430068,0.852934,
2024-01-04,sh.600028,5.19315364,5.25681752,5.12948976,5.17496396,151461064.0,0.1595,10.94912,0.20364,363.153605,0.849947,
2024-01-05,sh.600028,5.15677428,5.20224848,5.08401556,5.11130008,154780280.0,0.163,10.81442,0.201135,358.685986,0.83949,
2024-01-08,sh.600028,5.11130008,5.14767944,5.0476362,5.06582588,123704606.0,0.1303,10.718207,0.199346,355.49483,0.832022,
2024-01-09,sh.600028,5.03854136,5.0931104,5.002162,5.07492072,121991979.0,0.1285,10.737449,0.199704,356.133061,0.833515,
2024-01-10,sh.600028,5.06582588,5.10220524,4.99306716,5.002162,106462356.0,0.1121,10.583507,0.19684,351.027211,0.821565,
2024-01-11,sh.600028,4.98397232,4.99306716,4.8657394,4.87483424,161946300.0,0.1705,10.314109,0.19183,342.091973,0.800653,
2024-01-12,sh.600028,4.8657394,4.9112136,4.84754972,4.88392908,103607151.0,0.1091,10.333352,0.192188,342.730204,0.802147,
2024-01-15,sh.600028,4.87483424,4.93849812,4.84754972,4.92940328,100975920.0,0.1063,10.429566,0.193977,345.92136,0.809615,
2024-01-16,sh.600028,4.92940328,4.96578264,4.89302392,4.93849812,99165213.0,0.1044,10.448808,0.194335,346.559592,0.811109,
2024-01-17,sh.600028,4.92940328,4.9566878,4.87483424,4.87483424,111009958.0,0.1169,10.314109,0.19183,342.091973,0.800653,
2024-01-18,sh.600028,4.89302392,4.89302392,4.6838426,4.82936004,253885367.0,0.2673,10.217895,0.19004,338.900816,0.793184,
2024-01-19,sh.600028,4.81117036,4.89302392,4.76569616,4.8657394,168814689.0,0.1778,10.294866,0.191472,341.453741,0.799159,
2024-01-22,sh.600028,4.85664456,4.90211876,4.774791,4.81117036,182016422.0,0.1917,10.17941,0.189325,337.624354,0.790197,
2024-01-23,sh.600028,4.81117036,4.82936004,4.70203228,4.80207552,155539928.0,0.1638,10.160167,0.188967,336.986122,0.788703,
2024-01-24,sh.600028,4.80207552,4.96578264,4.80207552,4.96578264,172565893.0,0.1817,10.506537,0.195409,348.474286,0.81559,
2024-01-25,sh.600028,5.002162,5.35686076,4.98397232,5.35686076,293126073.0,0.3086,11.333974,0.210798,375.918231,0.879822,
2024-01-26,sh.600028,5.33867108,5.33867108,5.17496396,5.29319688,273291993.0,0.2878,11.199275,0.208293,371.450612,0.869366,
2024-01-29,sh.600028,5.26591236,5.56604208,5.24772268,5.39324012,301866280.0,0.3178,11.410945,0.21223,378.471156,0.885797,
2024-01-30,sh.600028,5.35686076,5.49328336,5.34776592,5.39324012,213898889.0,0.2252,11.410945,0.21223,378.471156,0.885797,
2024-01-31,sh.600028,5.3659556,5.48418852,5.34776592,5.42052464,179230296.0,0.1887,11.468674,0.213303,380.38585,0.890278,
2024-02-01,sh.600028,5.37505044,5.4114298,5.30229172,5.3204814,194321081.0,0.2046,11.257003,0.209367,373.365306,0.873847,
2024-02-02,sh.600028,5.3204814,5.44780916,5.30229172,5.35686076,226500348.0,0.2385,11.333974,0.210798,375.918231,0.879822,
2024-02-05,sh.600028,5.3659556,5.5023782,5.3659556,5.47509368,256760026.0,0.2704,11.58413,0.215451,384.215238,0.899241,
2024-02-06,sh.600028,5.46599884,5.53875756,5.37505044,5.42961948,236109093.0,0.2486,11.487916,0.213661,381.024081,0.891772,
2024-02-07,sh.600028,5.42961948,5.5023782,5.32957624,5.47509368,244496896.0,0.2574,11.58413,0.215451,384.215238,0.899241,
2024-02-08,sh.600028,5.456904,5.5023782,5.38414528,5.44780916,180767621.0,0.1903,11.526402,0.214377,382.300544,0.894759,
2024-02-19,sh.600028,5.46599884,5.74793888,5.44780916,5.71155952,245952100.0,0.259,12.084441,0.224756,400.809252,0.938078,
2024-02-20,sh.600028,5.71155952,5.76612856,5.66608532,5.684275,140167551.0,0.1476,12.026713,0.223682,398.894558,0.933597,
2024-02-21,sh.600028,5.684275,5.8206976,5.64789564,5.684275,216201582.0,0.2276,12.026713,0.223682,398.894558,0.933597,
2024-02-22,sh.600028,5.67518016,5.8661718,5.66608532,5.83888728,185465300.0,0.1953,12.35384,0.229766,409.74449,0.958991,
2024-02-23,sh.600028,5.83888728,5.88436148,5.75703372,5.79341308,188353609.0,0.1983,12.257626,0.227977,406.553333,0.951522,
2024-02-26,sh.600028,5.7752234,5.84798212,5.67518016,5.69336984,133362837.0,0.1404,12.045956,0.22404,399.532789,0.935091,
2024-02-27,sh.600028,5.684275,5.74793888,5.64789564,5.684275,123183416.0,0.1297,12.026713,0.223682,398.894558,0.933597,
2024-02-28,sh.600028,5.67518016,5.71155952,5.57513692,5.62970596,152687861.0,0.1608,11.911257,0.221535,395.06517,0.924635,
2024-02-29,sh.600028,5.62061112,5.684275,5.60242144,5.684275,108442260.0,0.1142,12.026713,0.223682,398.894558,0.933597,
2024-03-01,sh.600028,5.65699048,5.684275,5.60242144,5.6388008,110080455.0,0.1159,11.930499,0.221893,395.703401,0.926128,
2024-03-04,sh.600028,5.6388008,5.80250792,5.62970596,5.76612856,181260145.0,0.1909,12.199898,0.226903,404.638639,0.947041,
2024-03-05,sh.600028,5.73884404,5.83888728,5.71155952,5.81160276,143240239.0,0.1508,12.296111,0.228693,407.829796,0.95451,
2024-03-06,sh.600028,5.81160276,5.87526664,5.76612856,5.80250792,113072246.0,0.1191,12.276869,0.228335,407.191564,0.953016,
