code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600028,2024-04-29,2024-03-31,0.022337,0.027039,0.160373,21360000000.0,0.481987,,121739689893.0,94971971046.0
sh.600028,2024-04-29,2024-03-31,0.022337,0.027039,0.160373,21360000000.0,0.481987,,121739689893.0,94971971046.0
sh.600028,2024-08-26,2024-06-30,0.043702,0.025973,0.157701,40937000000.0,0.501521,1545920000000.0,121739689893.0,94971971046.0
sh.600028,2024-04-29,2024-03-31,0.022337,0.027039,0.160373,21360000000.0,0.481987,,121739689893.0,94971971046.0
sh.600028,2024-08-26,2024-06-30,0.043702,0.025973,0.157701,40937000000.0,0.501521,1545920000000.0,121739689893.0,94971971046.0
sh.600028,2024-10-29,2024-09-30,0.054461,0.021465,0.151955,50798000000.0,0.425177,,121699823893.0,94971971046.0
sh.600028,2024-04-29,2024-03-31,0.022337,0.027039,0.160373,21360000000.0,0.481987,,121739689893.0,94971971046.0
sh.600028,2024-08-26,2024-06-30,0.043702,0.025973,0.157701,40937000000.0,0.501521,1545920000000.0,121739689893.0,94971971046.0
sh.600028,2024-10-29,2024-09-30,0.054461,0.021465,0.151955,50798000000.0,0.425177,,121699823893.0,94971971046.0
sh.600028,2025-03-24,2024-12-31,0.061896,0.018717,0.154697,57547000000.0,0.414845,3074562000000.0,121281555698.0,94841824851.0
sh.600028,2025-04-29,2025-03-31,0.016032,0.019727,0.15661,14506000000.0,0.373189,,121281555698.0,94841824851.0
sh.600028,2025-04-29,2025-03-31,0.016032,0.019727,0.15661,14506000000.0,0.373189,,121281555698.0,94841824851.0
sh.600028,2025-08-22,2025-06-30,0.026082,0.01672,0.153507,23560000000.0,0.297686,1409052000000.0,121245237698.0,94841824851.0
sh.600028,2025-04-29,2025-03-31,0.016032,0.019727,0.15661,14506000000.0,0.373189,,121281555698.0,94841824851.0
sh.600028,2025-08-22,2025-06-30,0.026082,0.01672,0.153507,23560000000.0,0.297686,1409052000000.0,121245237698.0,94841824851.0
sh.600028,2025-10-30,2025-09-30,0.036325,0.016103,0.156785,34033000000.0,0.297497,,121177613698.0,94841824851.0
sh.600028,2025-04-29,2025-03-31,0.016032,0.019727,0.15661,14506000000.0,0.373189,,121281555698.0,94841824851.0
sh.600028,2025-08-22,2025-06-30,0.026082,0.01672,0.153507,23560000000.0,0.297686,1409052000000.0,121245237698.0,94841824851.0
sh.600028,2025-10-30,2025-09-30,0.036325,0.016103,0.156785,34033000000.0,0.297497,,121177613698.0,94841824851.0
